record,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Other_students_kind_and_helpful,Parents_understand_problems,Were_underweight,Were_overweight,score
1931,0,0,0,15 years old,1,0 times,0 times,Never,3 or more,Never,Always,0,0,4
1932,0,0,0,14 years old,1,0 times,0 times,Never,2,Sometimes,Most of the time,0,1,4
1933,0,0,0,15 years old,1,0 times,0 times,Rarely,2,Sometimes,Always,0,1,4
1934,0,1,0,14 years old,1,0 times,0 times,Rarely,3 or more,Sometimes,Always,0,0,33
1936,1,0,1,14 years old,0,1 time,0 times,Most of the time,1,Never,Never,0,0,74
1938,0,0,0,14 years old,0,0 times,0 times,Rarely,3 or more,Sometimes,Most of the time,0,0,4
1939,0,0,0,15 years old,1,0 times,0 times,Never,3 or more,Always,Always,0,0,0
1940,0,0,0,14 years old,1,0 times,0 times,Sometimes,2,Rarely,Rarely,0,0,7
1941,1,0,0,15 years old,0,0 times,0 times,Sometimes,3 or more,Always,Always,0,0,32
1942,0,1,1,15 years old,1,1 time,1 to 3 times,Rarely,3 or more,Always,Rarely,0,0,66
1945,0,0,1,15 years old,1,0 times,0 times,Sometimes,3 or more,Most of the time,Rarely,0,0,38
1946,0,0,0,15 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Sometimes,0,0,6
1947,0,0,0,15 years old,0,0 times,0 times,Sometimes,2,Sometimes,Rarely,0,0,8
1948,1,1,1,15 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Rarely,0,1,98
1949,0,0,1,16 years old,0,0 times,0 times,Sometimes,3 or more,Always,Sometimes,0,0,34
1950,0,0,0,15 years old,0,0 times,0 times,Rarely,3 or more,Most of the time,Most of the time,0,0,5
1951,0,0,0,15 years old,1,0 times,0 times,Sometimes,3 or more,Most of the time,Sometimes,0,0,7
1952,0,0,0,15 years old,1,0 times,1 to 3 times,Sometimes,3 or more,Always,Never,0,0,7
1954,0,0,0,15 years old,1,0 times,0 times,Sometimes,3 or more,Always,Most of the time,0,0,3
1955,0,0,0,15 years old,1,0 times,0 times,Rarely,3 or more,Always,Most of the time,0,1,2
1956,0,0,0,15 years old,1,0 times,0 times,Never,3 or more,Always,Always,0,1,0
1958,0,0,0,16 years old,1,0 times,0 times,Always,3 or more,Never,Rarely,0,0,11
1959,0,0,0,15 years old,1,0 times,0 times,Never,3 or more,Rarely,Never,0,0,5
1960,0,0,0,16 years old,0,0 times,0 times,Rarely,3 or more,Always,Always,0,0,1
1961,1,0,1,16 years old,1,0 times,0 times,Most of the time,3 or more,Most of the time,Sometimes,0,0,68
1962,0,0,0,16 years old,0,0 times,0 times,Sometimes,3 or more,Most of the time,Always,0,0,5
1963,0,0,0,16 years old,0,0 times,0 times,Rarely,3 or more,Most of the time,Always,0,0,4
1964,0,0,0,16 years old,1,0 times,0 times,Rarely,3 or more,Rarely,Always,0,0,2
1966,0,0,0,17 years old,0,0 times,0 times,Rarely,3 or more,Most of the time,Always,0,0,4
1967,0,0,0,17 years old,0,0 times,0 times,Sometimes,3 or more,Always,Sometimes,0,1,4
1968,0,1,1,16 years old,0,2 or 3 times,0 times,Rarely,3 or more,Sometimes,Sometimes,0,0,67
1969,0,0,1,16 years old,1,0 times,0 times,Never,3 or more,Sometimes,Always,0,1,32
1970,0,1,1,16 years old,0,6 or 7 times,1 to 3 times,Sometimes,3 or more,Sometimes,Never,0,0,73
1971,0,0,0,16 years old,1,0 times,0 times,Sometimes,1,Sometimes,Never,0,0,10
1972,0,0,1,17 years old,0,2 or 3 times,0 times,Most of the time,2,Most of the time,Never,0,0,43
1973,0,0,0,16 years old,1,0 times,0 times,Never,3 or more,Most of the time,Sometimes,0,0,5
1974,0,0,1,16 years old,0,0 times,0 times,Never,3 or more,Rarely,Sometimes,0,0,33
1975,0,0,0,17 years old,1,0 times,1 to 3 times,Rarely,2,Most of the time,Rarely,0,1,9
1976,0,0,0,16 years old,1,0 times,0 times,Most of the time,3 or more,Most of the time,Most of the time,0,0,7
1977,0,0,1,16 years old,0,0 times,1 to 3 times,Sometimes,3 or more,Sometimes,Sometimes,0,0,37
1978,1,0,0,16 years old,1,0 times,0 times,Rarely,3 or more,Rarely,Most of the time,0,0,33
1979,0,0,0,16 years old,0,0 times,0 times,Rarely,3 or more,Most of the time,Sometimes,1,0,6
1980,0,0,0,17 years old,0,0 times,0 times,Never,3 or more,Most of the time,Most of the time,0,0,4
1982,0,0,0,17 years old,1,0 times,0 times,Never,3 or more,Most of the time,Sometimes,0,0,5
1985,0,1,1,16 years old,1,0 times,1 to 3 times,Sometimes,2,Most of the time,Rarely,0,0,70
1986,0,0,0,16 years old,0,0 times,0 times,Never,3 or more,Always,Always,0,0,0
1988,0,0,1,17 years old,1,0 times,1 to 3 times,Rarely,3 or more,Sometimes,Sometimes,0,0,36
1994,1,0,0,13 years old,0,0 times,0 times,Sometimes,3 or more,Sometimes,Rarely,0,1,37
2010,0,0,0,13 years old,0,0 times,0 times,Rarely,3 or more,Always,Always,0,1,1
2012,0,0,0,13 years old,0,0 times,4 to 7 times,Never,3 or more,Always,Never,0,1,6
2013,0,0,0,13 years old,0,0 times,1 to 3 times,Never,3 or more,Rarely,Never,0,0,6
2014,0,0,0,16 years old,0,0 times,0 times,Most of the time,2,Most of the time,Sometimes,0,0,9
2015,0,0,0,17 years old,1,0 times,12 or more times,Never,3 or more,Never,Always,0,1,8
2016,0,0,0,14 years old,0,0 times,0 times,Sometimes,3 or more,Rarely,Never,0,0,7
2017,0,0,1,15 years old,0,0 times,0 times,Most of the time,3 or more,Never,Rarely,0,0,40
2019,0,0,1,15 years old,0,0 times,0 times,Most of the time,3 or more,Most of the time,Rarely,0,0,39
2021,0,1,0,14 years old,1,0 times,1 to 3 times,Rarely,3 or more,Sometimes,Never,0,1,38
2022,0,0,0,14 years old,0,0 times,0 times,Sometimes,2,Rarely,Rarely,0,0,7
2023,0,0,1,16 years old,0,0 times,0 times,Sometimes,1,Sometimes,Never,0,0,40
2025,1,1,1,15 years old,0,0 times,0 times,Sometimes,3 or more,Rarely,Never,0,1,97
